# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	k             	epsilon       
477           	9.309755e-03	1.147636e-05	1.893093e-07	1.503536e-04	8.890532e-08	2.612639e-05
478           	9.349514e-03	1.138171e-05	1.879607e-07	1.506370e-04	9.696682e-08	3.240554e-05
479           	9.390092e-03	1.147897e-05	1.875735e-07	1.512503e-04	8.390919e-08	4.380054e-05
480           	9.395878e-03	1.143135e-05	1.862912e-07	1.514784e-04	8.423153e-08	1.834836e-05
481           	9.456018e-03	1.150202e-05	1.858211e-07	1.516437e-04	9.148057e-08	2.232731e-05
482           	9.483344e-03	1.149121e-05	1.846340e-07	1.520382e-04	9.576032e-08	2.872095e-05
483           	9.524304e-03	1.147802e-05	1.841049e-07	1.521353e-04	9.656927e-08	3.471269e-05
484           	9.540343e-03	1.149869e-05	1.831060e-07	1.524438e-04	8.197668e-08	4.344940e-05
485           	9.558846e-03	1.146583e-05	1.825020e-07	1.523381e-04	8.741157e-08	1.753177e-05
486           	9.571045e-03	1.150454e-05	1.813625e-07	1.524453e-04	9.073428e-08	2.555415e-05
487           	9.594458e-03	1.150838e-05	1.807105e-07	1.529243e-04	9.929365e-08	3.220532e-05
488           	9.627162e-03	1.153680e-05	1.799254e-07	1.531486e-04	9.120036e-08	3.951565e-05
489           	9.635586e-03	1.156661e-05	1.789347e-07	1.537604e-04	8.522470e-08	3.504623e-05
490           	9.663165e-03	1.156217e-05	1.783413e-07	1.538102e-04	9.211278e-08	2.081627e-05
491           	9.696633e-03	1.159452e-05	1.775615e-07	1.543721e-04	9.604746e-08	2.764335e-05
492           	9.735458e-03	1.156958e-05	1.768544e-07	1.545713e-04	1.004791e-07	3.326511e-05
493           	9.750079e-03	1.164955e-05	1.748748e-07	1.579805e-04	7.953143e-08	2.325977e-05
494           	9.779603e-03	1.159171e-05	1.743347e-07	1.562891e-04	8.281897e-08	5.144214e-06
495           	9.788334e-03	1.163781e-05	1.735057e-07	1.551264e-04	8.517994e-08	7.164411e-06
496           	9.806361e-03	1.163736e-05	1.728419e-07	1.543091e-04	8.842907e-08	7.554045e-06
497           	9.820421e-03	1.165036e-05	1.723610e-07	1.543920e-04	8.520396e-08	1.006827e-05
498           	9.845644e-03	1.170047e-05	1.717202e-07	1.546478e-04	8.243088e-08	1.249045e-05
499           	9.831871e-03	1.169618e-05	1.708898e-07	1.556002e-04	8.468412e-08	6.019858e-06
500           	9.853815e-03	1.171376e-05	1.704809e-07	1.564615e-04	8.521349e-08	7.638059e-06
501           	9.905003e-03	1.174756e-05	1.694332e-07	1.577036e-04	8.556368e-08	7.822779e-06
502           	9.898619e-03	1.175082e-05	1.689036e-07	1.582609e-04	7.964252e-08	1.310394e-05
503           	9.935433e-03	1.179976e-05	1.680210e-07	1.583419e-04	8.238155e-08	4.764662e-06
504           	9.915012e-03	1.176566e-05	1.675416e-07	1.580038e-04	8.601053e-08	6.743115e-06
505           	9.954380e-03	1.181189e-05	1.664943e-07	1.574433e-04	8.886136e-08	7.765132e-06
506           	9.966716e-03	1.178308e-05	1.658623e-07	1.572121e-04	8.744517e-08	9.158353e-06
507           	1.000581e-02	1.181837e-05	1.650909e-07	1.571162e-04	8.336820e-08	1.346398e-05
508           	9.995867e-03	1.184128e-05	1.643038e-07	1.573562e-04	8.565456e-08	5.691135e-06
509           	1.002020e-02	1.185857e-05	1.637274e-07	1.576521e-04	8.650095e-08	7.379089e-06
510           	1.005451e-02	1.186552e-05	1.630527e-07	1.582612e-04	8.775797e-08	7.754653e-06
511           	1.010019e-02	1.192875e-05	1.625418e-07	1.590114e-04	8.196082e-08	1.179822e-05
512           	1.012333e-02	1.196210e-05	1.617845e-07	1.595252e-04	8.303969e-08	4.461962e-06
513           	1.012656e-02	1.193116e-05	1.613967e-07	1.597417e-04	8.727828e-08	6.550908e-06
514           	1.013902e-02	1.196957e-05	1.608717e-07	1.597916e-04	8.953555e-08	8.016391e-06
515           	1.015841e-02	1.194261e-05	1.600179e-07	1.598616e-04	8.959979e-08	8.500461e-06
516           	1.018700e-02	1.196046e-05	1.596519e-07	1.598914e-04	8.434427e-08	1.292008e-05
517           	1.018862e-02	1.201253e-05	1.589367e-07	1.602336e-04	8.707973e-08	5.484498e-06
518           	1.019439e-02	1.205055e-05	1.584613e-07	1.605526e-04	8.803214e-08	7.790589e-06
519           	1.021529e-02	1.207700e-05	1.578421e-07	1.609681e-04	9.086173e-08	8.404086e-06
520           	1.025307e-02	1.211061e-05	1.574706e-07	1.612344e-04	8.654808e-08	1.218433e-05
521           	1.030023e-02	1.213264e-05	1.568396e-07	1.617414e-04	8.589969e-08	1.233926e-05
522           	1.027981e-02	1.213015e-05	1.563712e-07	1.619102e-04	9.033614e-08	1.008195e-05
523           	1.031086e-02	1.217012e-05	1.557718e-07	1.621246e-04	9.416421e-08	1.340705e-05
524           	1.030868e-02	1.212701e-05	1.554054e-07	1.621822e-04	9.818809e-08	1.793982e-05
525           	1.034158e-02	1.213278e-05	1.546180e-07	1.622495e-04	9.350150e-08	2.806228e-05
526           	1.035754e-02	1.213291e-05	1.541736e-07	1.623445e-04	9.931502e-08	2.079577e-05
527           	1.037101e-02	1.214824e-05	1.534892e-07	1.625721e-04	1.021852e-07	3.347100e-05
528           	1.036240e-02	1.223852e-05	1.520606e-07	1.666104e-04	1.068902e-07	1.652893e-05
529           	1.046738e-02	1.230474e-05	1.509515e-07	1.674432e-04	1.096952e-07	1.201010e-05
530           	1.053761e-02	1.240369e-05	1.505528e-07	1.676854e-04	8.013611e-08	3.771442e-06
531           	1.055275e-02	1.247811e-05	1.498805e-07	1.650055e-04	8.177936e-08	2.780125e-06
532           	1.048047e-02	1.247257e-05	1.496983e-07	1.626250e-04	8.464244e-08	4.317376e-06
533           	1.050545e-02	1.250032e-05	1.491858e-07	1.614483e-04	8.922312e-08	5.483846e-06
534           	1.050205e-02	1.237616e-05	1.488955e-07	1.613818e-04	9.127863e-08	1.695135e-05
535           	1.052183e-02	1.234310e-05	1.484925e-07	1.625004e-04	9.332188e-08	1.291164e-05
536           	1.052173e-02	1.228636e-05	1.477611e-07	1.641250e-04	9.648025e-08	1.955815e-05
537           	1.050352e-02	1.230411e-05	1.473739e-07	1.658588e-04	1.003003e-07	2.184460e-05
538           	1.050732e-02	1.234327e-05	1.466414e-07	1.703866e-04	6.267060e-08	1.505499e-05
539           	1.056762e-02	1.242960e-05	1.461644e-07	1.689883e-04	6.224953e-08	4.109073e-06
540           	1.059202e-02	1.245933e-05	1.456060e-07	1.676197e-04	6.402961e-08	3.749424e-06
541           	1.060782e-02	1.252367e-05	1.448816e-07	1.656692e-04	6.545329e-08	4.342798e-06
542           	1.057421e-02	1.246242e-05	1.443731e-07	1.639531e-04	6.576854e-08	5.641592e-06
543           	1.057357e-02	1.250518e-05	1.437319e-07	1.627703e-04	6.325517e-08	6.819630e-06
544           	1.057987e-02	1.235902e-05	1.429556e-07	1.624744e-04	6.279287e-08	4.456838e-06
545           	1.059704e-02	1.237840e-05	1.424987e-07	1.628249e-04	6.276602e-08	4.075975e-06
546           	1.060700e-02	1.232066e-05	1.414784e-07	1.636731e-04	6.284579e-08	4.883269e-06
547           	1.059300e-02	1.232761e-05	1.411514e-07	1.644087e-04	6.116273e-08	6.801551e-06
548           	1.061345e-02	1.235807e-05	1.404577e-07	1.653127e-04	6.071990e-08	4.124891e-06
549           	1.062978e-02	1.237199e-05	1.401051e-07	1.659293e-04	6.266274e-08	3.657349e-06
550           	1.066732e-02	1.244997e-05	1.395838e-07	1.662443e-04	6.460596e-08	4.313323e-06
551           	1.065696e-02	1.241537e-05	1.390880e-07	1.659523e-04	6.564559e-08	5.794225e-06
552           	1.067634e-02	1.247871e-05	1.386888e-07	1.651773e-04	6.402391e-08	7.202672e-06
553           	1.066136e-02	1.243449e-05	1.383449e-07	1.647978e-04	6.309008e-08	4.759950e-06
554           	1.070038e-02	1.243859e-05	1.379051e-07	1.644358e-04	6.345891e-08	4.027181e-06
555           	1.071193e-02	1.241253e-05	1.375544e-07	1.646089e-04	6.365892e-08	4.599447e-06
556           	1.074304e-02	1.242175e-05	1.371285e-07	1.646134e-04	6.232904e-08	6.140504e-06
557           	1.071634e-02	1.241001e-05	1.367247e-07	1.648722e-04	6.065926e-08	4.787222e-06
558           	1.074878e-02	1.246019e-05	1.366050e-07	1.655339e-04	6.242052e-08	5.701719e-06
559           	1.077814e-02	1.246490e-05	1.361478e-07	1.662073e-04	6.437305e-08	4.470310e-06
560           	1.083001e-02	1.253445e-05	1.362624e-07	1.667837e-04	6.623112e-08	5.754564e-06
561           	1.079447e-02	1.248009e-05	1.357721e-07	1.665220e-04	6.495731e-08	8.249179e-06
562           	1.081703e-02	1.253997e-05	1.357413e-07	1.662837e-04	6.408175e-08	5.542645e-06
563           	1.080917e-02	1.248099e-05	1.353002e-07	1.661631e-04	6.499290e-08	5.639657e-06
564           	1.084354e-02	1.253260e-05	1.352177e-07	1.662464e-04	6.634060e-08	7.455826e-06
565           	1.083849e-02	1.251113e-05	1.345499e-07	1.663706e-04	6.717039e-08	1.159470e-05
566           	1.085353e-02	1.255358e-05	1.344625e-07	1.660803e-04	6.676316e-08	1.633869e-05
567           	1.082683e-02	1.251750e-05	1.336049e-07	1.660787e-04	7.211753e-08	1.822783e-05
568           	1.085731e-02	1.257249e-05	1.337358e-07	1.662807e-04	7.626914e-08	2.905101e-05
569           	1.089861e-02	1.257381e-05	1.329482e-07	1.669111e-04	7.810262e-08	3.101422e-05
570           	1.091227e-02	1.262657e-05	1.330753e-07	1.673525e-04	8.001572e-08	3.853051e-05
571           	1.090315e-02	1.259880e-05	1.326428e-07	1.670181e-04	7.306503e-08	4.344845e-05
572           	1.091645e-02	1.258942e-05	1.323689e-07	1.670776e-04	7.777562e-08	3.002570e-05
573           	1.092757e-02	1.258302e-05	1.322211e-07	1.669437e-04	7.564801e-08	3.953677e-05
574           	1.097212e-02	1.257824e-05	1.318622e-07	1.675139e-04	8.073460e-08	3.265166e-05
575           	1.097059e-02	1.263402e-05	1.318231e-07	1.677698e-04	7.564243e-08	4.578797e-05
576           	1.099714e-02	1.261565e-05	1.312209e-07	1.674849e-04	7.306091e-08	4.109780e-05
577           	1.096048e-02	1.265694e-05	1.311225e-07	1.676842e-04	7.746271e-08	2.943923e-05
578           	1.101102e-02	1.267927e-05	1.306987e-07	1.680055e-04	7.716705e-08	3.260671e-05
579           	1.104181e-02	1.274234e-05	1.307972e-07	1.688595e-04	8.028107e-08	3.684397e-05
580           	1.106973e-02	1.277266e-05	1.304741e-07	1.691818e-04	7.311657e-08	4.300968e-05
581           	1.104990e-02	1.277032e-05	1.305401e-07	1.687426e-04	7.685110e-08	2.693213e-05
582           	1.107492e-02	1.275483e-05	1.301829e-07	1.686242e-04	7.735546e-08	3.489907e-05
583           	1.107328e-02	1.274447e-05	1.301548e-07	1.688441e-04	8.045682e-08	3.287353e-05
584           	1.110997e-02	1.278726e-05	1.300314e-07	1.694859e-04	7.823434e-08	4.188799e-05
585           	1.108894e-02	1.280603e-05	1.297379e-07	1.697109e-04	7.383635e-08	4.344887e-05
586           	1.111563e-02	1.279459e-05	1.295018e-07	1.693616e-04	7.825464e-08	3.313577e-05
587           	1.106522e-02	1.277316e-05	1.290932e-07	1.692730e-04	7.630058e-08	3.822820e-05
588           	1.111137e-02	1.282587e-05	1.290321e-07	1.695495e-04	8.167941e-08	3.587118e-05
589           	1.111097e-02	1.282102e-05	1.288038e-07	1.703335e-04	7.318234e-08	4.630340e-05
590           	1.113972e-02	1.287873e-05	1.287412e-07	1.706984e-04	7.610079e-08	2.949685e-05
591           	1.112290e-02	1.287116e-05	1.284021e-07	1.704309e-04	7.860329e-08	3.093438e-05
592           	1.113345e-02	1.286742e-05	1.284456e-07	1.702529e-04	8.048921e-08	3.266162e-05
593           	1.115725e-02	1.284427e-05	1.280317e-07	1.706792e-04	8.037832e-08	4.046933e-05
594           	1.117729e-02	1.289348e-05	1.283041e-07	1.711311e-04	7.386720e-08	4.325535e-05
595           	1.119299e-02	1.289997e-05	1.278593e-07	1.714481e-04	7.878611e-08	3.026320e-05
596           	1.119734e-02	1.291369e-05	1.277577e-07	1.711582e-04	7.650306e-08	4.027274e-05
597           	1.117106e-02	1.290614e-05	1.275385e-07	1.711151e-04	8.214771e-08	3.329515e-05
598           	1.121530e-02	1.294707e-05	1.273618e-07	1.714904e-04	7.662986e-08	4.597372e-05
599           	1.121117e-02	1.295427e-05	1.272784e-07	1.723814e-04	7.539963e-08	3.937380e-05
600           	1.123744e-02	1.300444e-05	1.271336e-07	1.723862e-04	7.986087e-08	2.972571e-05
601           	1.120426e-02	1.300675e-05	1.268111e-07	1.722022e-04	7.963676e-08	3.371396e-05
602           	1.119531e-02	1.296115e-05	1.266967e-07	1.718305e-04	8.182860e-08	3.770884e-05
603           	1.121769e-02	1.298793e-05	1.262767e-07	1.721466e-04	7.434154e-08	4.287820e-05
604           	1.120651e-02	1.298991e-05	1.261796e-07	1.726102e-04	7.821037e-08	2.830671e-05
605           	1.120680e-02	1.301304e-05	1.259192e-07	1.725412e-04	7.785083e-08	3.600630e-05
606           	1.119457e-02	1.297990e-05	1.257296e-07	1.723534e-04	8.205974e-08	3.304964e-05
607           	1.118472e-02	1.300087e-05	1.256063e-07	1.720774e-04	7.894761e-08	4.331192e-05
608           	1.123327e-02	1.297654e-05	1.253107e-07	1.721982e-04	7.546418e-08	4.344602e-05
609           	1.122388e-02	1.302340e-05	1.252814e-07	1.731377e-04	7.993946e-08	3.295159e-05
610           	1.122584e-02	1.304691e-05	1.249553e-07	1.730956e-04	7.872753e-08	3.510541e-05
611           	1.120072e-02	1.304391e-05	1.248833e-07	1.733453e-04	8.320573e-08	3.634052e-05
612           	1.121338e-02	1.303739e-05	1.247013e-07	1.729392e-04	7.471549e-08	4.582932e-05
613           	1.123002e-02	1.303939e-05	1.245457e-07	1.732646e-04	7.770825e-08	3.008127e-05
614           	1.122302e-02	1.304485e-05	1.243329e-07	1.733641e-04	7.933729e-08	3.234049e-05
615           	1.121914e-02	1.307800e-05	1.242283e-07	1.732662e-04	8.184502e-08	3.278473e-05
616           	1.120077e-02	1.304427e-05	1.240215e-07	1.731150e-04	8.083099e-08	4.262745e-05
617           	1.120789e-02	1.306459e-05	1.238238e-07	1.731621e-04	7.488989e-08	4.409246e-05
618           	1.123285e-02	1.305179e-05	1.236470e-07	1.734078e-04	8.015562e-08	3.136859e-05
619           	1.124404e-02	1.307408e-05	1.234443e-07	1.740662e-04	7.767653e-08	4.062979e-05
620           	1.120293e-02	1.310333e-05	1.233078e-07	1.739924e-04	8.385243e-08	3.387702e-05
621           	1.121369e-02	1.307606e-05	1.230216e-07	1.739166e-04	7.675426e-08	4.608268e-05
622           	1.120697e-02	1.308081e-05	1.230413e-07	1.738078e-04	7.734505e-08	3.479183e-05
623           	1.122894e-02	1.307690e-05	1.227948e-07	1.740389e-04	8.107787e-08	3.088954e-05
624           	1.122746e-02	1.311630e-05	1.225862e-07	1.743218e-04	8.130743e-08	3.337044e-05
625           	1.121842e-02	1.313824e-05	1.225522e-07	1.741121e-04	8.236461e-08	3.975785e-05
626           	1.120402e-02	1.312354e-05	1.222415e-07	1.740259e-04	7.499679e-08	4.315981e-05
627           	1.121786e-02	1.313928e-05	1.222533e-07	1.741501e-04	7.936957e-08	2.933549e-05
628           	1.124671e-02	1.312623e-05	1.220054e-07	1.744414e-04	7.841490e-08	3.793156e-05
629           	1.124260e-02	1.317802e-05	1.219479e-07	1.751291e-04	8.353336e-08	3.258530e-05
630           	1.121876e-02	1.319235e-05	1.218815e-07	1.748642e-04	7.982919e-08	4.476306e-05
631           	1.123022e-02	1.319520e-05	1.215635e-07	1.749283e-04	7.665312e-08	4.237286e-05
632           	1.121601e-02	1.318769e-05	1.217989e-07	1.748431e-04	8.161396e-08	2.941042e-05
633           	1.125523e-02	1.319664e-05	1.213216e-07	1.749829e-04	8.030190e-08	3.323171e-05
634           	1.122369e-02	1.319396e-05	1.214386e-07	1.751505e-04	8.380999e-08	3.679606e-05
635           	1.122610e-02	1.322209e-05	1.212287e-07	1.748819e-04	7.519902e-08	4.593188e-05
636           	1.120957e-02	1.319753e-05	1.210594e-07	1.749424e-04	7.856913e-08	3.014602e-05
637           	1.123419e-02	1.323779e-05	1.209666e-07	1.752496e-04	7.946225e-08	3.384202e-05
638           	1.123915e-02	1.322820e-05	1.207826e-07	1.757569e-04	8.305526e-08	3.278988e-05
639           	1.123876e-02	1.327535e-05	1.208346e-07	1.762328e-04	8.108246e-08	4.320933e-05
640           	1.121413e-02	1.327903e-05	1.206612e-07	1.759307e-04	7.645772e-08	4.329343e-05
641           	1.122728e-02	1.328134e-05	1.204562e-07	1.761075e-04	8.173557e-08	3.149701e-05
642           	1.122976e-02	1.327324e-05	1.205347e-07	1.761127e-04	7.937223e-08	4.067595e-05
643           	1.125633e-02	1.329140e-05	1.203671e-07	1.763467e-04	8.477704e-08	3.497235e-05
644           	1.122546e-02	1.328627e-05	1.204273e-07	1.764192e-04	7.609171e-08	4.507259e-05
645           	1.123594e-02	1.332205e-05	1.201906e-07	1.760562e-04	7.803365e-08	3.034678e-05
646           	1.121512e-02	1.328620e-05	1.200758e-07	1.761254e-04	8.140381e-08	3.149491e-05
647           	1.125509e-02	1.331918e-05	1.200376e-07	1.763426e-04	8.209589e-08	3.307273e-05
648           	1.124875e-02	1.332313e-05	1.198263e-07	1.769627e-04	8.319293e-08	3.932733e-05
649           	1.122493e-02	1.336281e-05	1.198310e-07	1.771575e-04	7.590678e-08	4.388477e-05
650           	1.122539e-02	1.335021e-05	1.195613e-07	1.769313e-04	8.115877e-08	3.034439e-05
651           	1.121805e-02	1.336526e-05	1.195943e-07	1.769404e-04	7.934126e-08	3.981598e-05
652           	1.125419e-02	1.336117e-05	1.194766e-07	1.768625e-04	8.534038e-08	3.275400e-05
653           	1.125252e-02	1.337240e-05	1.192836e-07	1.772511e-04	7.996239e-08	4.604336e-05
654           	1.123278e-02	1.337338e-05	1.193779e-07	1.771327e-04	7.755226e-08	4.051737e-05
655           	1.122520e-02	1.339764e-05	1.190835e-07	1.769044e-04	8.199786e-08	2.976021e-05
656           	1.122404e-02	1.335777e-05	1.192172e-07	1.767468e-04	8.124456e-08	3.288937e-05
657           	1.125693e-02	1.337770e-05	1.189892e-07	1.769634e-04	8.377057e-08	3.699159e-05
658           	1.123309e-02	1.339677e-05	1.189041e-07	1.775745e-04	7.597353e-08	4.320667e-05
659           	1.123205e-02	1.342156e-05	1.188024e-07	1.775525e-04	7.982717e-08	2.732640e-05
660           	1.121157e-02	1.339968e-05	1.185633e-07	1.774795e-04	8.027681e-08	3.541989e-05
661           	1.124315e-02	1.342161e-05	1.186182e-07	1.773772e-04	8.416645e-08	3.230726e-05
662           	1.124193e-02	1.339815e-05	1.184961e-07	1.775849e-04	8.202495e-08	4.256081e-05
663           	1.125958e-02	1.342714e-05	1.183852e-07	1.775982e-04	7.761376e-08	4.421405e-05
664           	1.122563e-02	1.340823e-05	1.184534e-07	1.775900e-04	8.225929e-08	3.352180e-05
665           	1.124297e-02	1.345574e-05	1.183074e-07	1.772996e-04	8.030192e-08	3.753794e-05
666           	1.125033e-02	1.341511e-05	1.184483e-07	1.773670e-04	8.562103e-08	3.572979e-05
667           	1.127499e-02	1.347108e-05	1.181455e-07	1.775666e-04	7.624120e-08	4.709320e-05
668           	1.123360e-02	1.345756e-05	1.181385e-07	1.779230e-04	7.896979e-08	3.004451e-05
669           	1.125836e-02	1.350699e-05	1.181020e-07	1.776955e-04	8.124979e-08	3.130165e-05
670           	1.123232e-02	1.346358e-05	1.179417e-07	1.779155e-04	8.347612e-08	3.265475e-05
671           	1.128001e-02	1.352190e-05	1.180289e-07	1.779737e-04	8.335896e-08	4.127512e-05
672           	1.126371e-02	1.349496e-05	1.179389e-07	1.781963e-04	7.684569e-08	4.388590e-05
673           	1.128141e-02	1.353282e-05	1.178310e-07	1.782635e-04	8.213163e-08	3.072515e-05
674           	1.125498e-02	1.350205e-05	1.179629e-07	1.779294e-04	7.973644e-08	4.077346e-05
675           	1.129124e-02	1.355674e-05	1.177039e-07	1.779784e-04	8.572417e-08	3.322684e-05
676           	1.128502e-02	1.348500e-05	1.179788e-07	1.781648e-04	7.946721e-08	4.516332e-05
677           	1.130621e-02	1.359139e-05	1.176422e-07	1.783047e-04	7.839496e-08	3.742459e-05
678           	1.127990e-02	1.352657e-05	1.177669e-07	1.785468e-04	8.253599e-08	3.003210e-05
679           	1.128660e-02	1.361191e-05	1.176440e-07	1.783013e-04	8.218626e-08	3.359559e-05
680           	1.128902e-02	1.356052e-05	1.173828e-07	1.784590e-04	8.427876e-08	3.793507e-05
681           	1.131269e-02	1.361033e-05	1.175826e-07	1.787577e-04	7.670436e-08	4.295231e-05
682           	1.128119e-02	1.360271e-05	1.172805e-07	1.789580e-04	8.092406e-08	2.856933e-05
683           	1.130356e-02	1.361471e-05	1.175826e-07	1.788472e-04	8.049859e-08	3.622089e-05
684           	1.127941e-02	1.361070e-05	1.174223e-07	1.785436e-04	8.533839e-08	3.301667e-05
685           	1.133086e-02	1.363195e-05	1.175978e-07	1.784232e-04	8.211330e-08	4.367777e-05
686           	1.132179e-02	1.360155e-05	1.174835e-07	1.788901e-04	7.851118e-08	4.323787e-05
687           	1.131633e-02	1.370391e-05	1.174056e-07	1.790786e-04	8.283903e-08	3.352239e-05
688           	1.130507e-02	1.362806e-05	1.174313e-07	1.790677e-04	8.118655e-08	3.551192e-05
689           	1.132337e-02	1.372945e-05	1.173358e-07	1.791130e-04	8.517015e-08	3.663960e-05
690           	1.132292e-02	1.364004e-05	1.173555e-07	1.790431e-04	7.655522e-08	4.499365e-05
691           	1.136027e-02	1.374845e-05	1.172119e-07	1.794012e-04	7.982087e-08	2.967338e-05
692           	1.132158e-02	1.369743e-05	1.172746e-07	1.796070e-04	8.135282e-08	3.278845e-05
693           	1.132985e-02	1.374574e-05	1.172012e-07	1.791527e-04	8.465752e-08	3.274992e-05
694           	1.132774e-02	1.370393e-05	1.172784e-07	1.793170e-04	8.349016e-08	4.343860e-05
695           	1.136625e-02	1.375118e-05	1.174067e-07	1.790815e-04	7.783645e-08	4.358170e-05
696           	1.137216e-02	1.371797e-05	1.173828e-07	1.796941e-04	8.313032e-08	3.183116e-05
697           	1.134853e-02	1.378227e-05	1.173031e-07	1.797136e-04	8.021183e-08	4.079729e-05
698           	1.133159e-02	1.377190e-05	1.173151e-07	1.796947e-04	8.622303e-08	3.401593e-05
699           	1.135360e-02	1.377540e-05	1.171781e-07	1.794704e-04	7.841630e-08	4.671324e-05
700           	1.135139e-02	1.377267e-05	1.170784e-07	1.796574e-04	7.912935e-08	3.483515e-05
701           	1.137226e-02	1.380214e-05	1.172082e-07	1.799979e-04	8.285257e-08	3.110444e-05
702           	1.135226e-02	1.382370e-05	1.168297e-07	1.802353e-04	8.334339e-08	3.355848e-05
703           	1.133387e-02	1.383921e-05	1.172919e-07	1.800985e-04	8.474941e-08	3.991935e-05
704           	1.135532e-02	1.382604e-05	1.170247e-07	1.797751e-04	7.749497e-08	4.349951e-05
705           	1.137579e-02	1.385497e-05	1.171685e-07	1.799219e-04	8.220399e-08	2.966121e-05
706           	1.138529e-02	1.382911e-05	1.171610e-07	1.803479e-04	8.093146e-08	3.833649e-05
707           	1.136561e-02	1.389622e-05	1.170995e-07	1.804600e-04	8.600557e-08	3.249592e-05
708           	1.134372e-02	1.388839e-05	1.171356e-07	1.807259e-04	8.168278e-08	4.508141e-05
709           	1.136817e-02	1.390853e-05	1.171825e-07	1.802140e-04	7.837316e-08	4.116865e-05
710           	1.137495e-02	1.387528e-05	1.168797e-07	1.804944e-04	8.318705e-08	2.972394e-05
711           	1.138325e-02	1.390834e-05	1.171783e-07	1.806622e-04	8.201328e-08	3.334658e-05
712           	1.137995e-02	1.392107e-05	1.166751e-07	1.810008e-04	8.542630e-08	3.720747e-05
713           	1.134294e-02	1.391810e-05	1.171687e-07	1.809563e-04	7.711531e-08	4.531507e-05
714           	1.137404e-02	1.392144e-05	1.169575e-07	1.805346e-04	8.085352e-08	3.004625e-05
715           	1.138634e-02	1.391554e-05	1.169489e-07	1.805915e-04	8.178187e-08	3.389783e-05
716           	1.140115e-02	1.391083e-05	1.170356e-07	1.808056e-04	8.535247e-08	3.282126e-05
717           	1.138251e-02	1.395694e-05	1.169615e-07	1.810874e-04	8.310844e-08	4.303946e-05
718           	1.136341e-02	1.397754e-05	1.170378e-07	1.812566e-04	7.825190e-08	4.281826e-05
719           	1.137982e-02	1.396813e-05	1.170488e-07	1.809930e-04	8.327159e-08	3.198412e-05
720           	1.139428e-02	1.394106e-05	1.167945e-07	1.810207e-04	8.085561e-08	3.999082e-05
721           	1.138661e-02	1.394237e-05	1.168648e-07	1.811193e-04	8.631739e-08	3.525600e-05
722           	1.138274e-02	1.395074e-05	1.165746e-07	1.815267e-04	7.731687e-08	4.555722e-05
723           	1.135122e-02	1.396507e-05	1.169823e-07	1.814355e-04	7.986998e-08	2.940835e-05
724           	1.138404e-02	1.396029e-05	1.168434e-07	1.813050e-04	8.317506e-08	3.166303e-05
725           	1.139335e-02	1.397003e-05	1.169955e-07	1.811186e-04	8.437925e-08	3.279001e-05
726           	1.140918e-02	1.396968e-05	1.169854e-07	1.813651e-04	8.525548e-08	4.003531e-05
727           	1.139067e-02	1.398845e-05	1.168264e-07	1.816141e-04	7.764183e-08	4.422495e-05
728           	1.137785e-02	1.405656e-05	1.170681e-07	1.818904e-04	8.299709e-08	2.954214e-05
729           	1.138221e-02	1.401409e-05	1.168406e-07	1.818052e-04	8.067775e-08	4.039966e-05
730           	1.140124e-02	1.402720e-05	1.168484e-07	1.817764e-04	8.668414e-08	3.292972e-05
731           	1.140099e-02	1.399477e-05	1.169488e-07	1.817137e-04	8.110303e-08	4.603991e-05
732           	1.138873e-02	1.403990e-05	1.165828e-07	1.819860e-04	7.905835e-08	4.063016e-05
733           	1.136136e-02	1.402677e-05	1.170449e-07	1.821881e-04	8.357439e-08	3.014414e-05
734           	1.139679e-02	1.402904e-05	1.167216e-07	1.819943e-04	8.301728e-08	3.307060e-05
735           	1.139478e-02	1.401784e-05	1.171230e-07	1.818165e-04	8.568871e-08	3.737833e-05
736           	1.142539e-02	1.401879e-05	1.168020e-07	1.818785e-04	7.774450e-08	4.388611e-05
737           	1.139250e-02	1.402986e-05	1.169394e-07	1.821483e-04	8.163170e-08	2.762029e-05
738           	1.139600e-02	1.407899e-05	1.167958e-07	1.825162e-04	8.178112e-08	3.574225e-05
739           	1.138921e-02	1.406855e-05	1.169013e-07	1.824933e-04	8.567331e-08	3.246823e-05
740           	1.141835e-02	1.407718e-05	1.169324e-07	1.824964e-04	8.305677e-08	4.218211e-05
741           	1.140877e-02	1.406575e-05	1.169798e-07	1.824333e-04	7.883809e-08	4.314221e-05
742           	1.142898e-02	1.409273e-05	1.168857e-07	1.826518e-04	8.355106e-08	3.294937e-05
743           	1.139904e-02	1.411655e-05	1.171259e-07	1.829036e-04	8.164023e-08	3.671445e-05
744           	1.142439e-02	1.410460e-05	1.170562e-07	1.827916e-04	8.671387e-08	3.589377e-05
745           	1.141584e-02	1.411501e-05	1.172690e-07	1.826894e-04	7.754394e-08	4.586234e-05
746           	1.145262e-02	1.409994e-05	1.172076e-07	1.826020e-04	8.063270e-08	2.911025e-05
747           	1.142049e-02	1.411613e-05	1.171714e-07	1.830119e-04	8.278196e-08	3.138682e-05
748           	1.141304e-02	1.415393e-05	1.171344e-07	1.830975e-04	8.527811e-08	3.230212e-05
749           	1.141040e-02	1.415104e-05	1.171478e-07	1.831396e-04	8.452378e-08	4.191403e-05
